image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0023.png,7.052983876,3.676910885,1,8.52E-08,0.99999998
0023.png,7.052983876,3.676910885,2,4.68E-08,1.999998521
0023.png,7.052983876,3.676910885,3,2.29E-08,2.999997881
0023.png,7.052983876,3.676910885,4,1.08E-08,3.999994707
0023.png,7.052983876,3.676910885,5,5.13E-09,4.999990075
0023.png,7.052983876,3.676910885,6,2.46E-09,5.999976725
0023.png,7.052983876,3.676910885,7,1.18E-09,6.999964644
0023.png,7.052983876,3.676910885,8,5.85E-10,7.999945429
0024.png,7.499090022,5.301563517,1,1.25E-07,0.999999967
0024.png,7.499090022,5.301563517,2,6.04E-08,1.99999994
0024.png,7.499090022,5.301563517,3,2.97E-08,2.999999551
0024.png,7.499090022,5.301563517,4,1.59E-08,3.999996996
0024.png,7.499090022,5.301563517,5,9.07E-09,4.999989734
0024.png,7.499090022,5.301563517,6,5.59E-09,5.999983942
0024.png,7.499090022,5.301563517,7,3.75E-09,6.999963062
0024.png,7.499090022,5.301563517,8,2.89E-09,7.999929398
0025.png,7.058464,5.478912839,1,1.07E-07,0.999999558
0025.png,7.058464,5.478912839,2,5.66E-08,1.999999673
0025.png,7.058464,5.478912839,3,2.73E-08,2.999997503
0025.png,7.058464,5.478912839,4,1.29E-08,3.999994392
0025.png,7.058464,5.478912839,5,6.12E-09,4.999991198
0025.png,7.058464,5.478912839,6,2.92E-09,5.999971788
0025.png,7.058464,5.478912839,7,1.40E-09,6.999959061
0025.png,7.058464,5.478912839,8,6.83E-10,7.999923856
0026.png,7.844551881,6.741654841,1,8.63E-08,0.999999951
0026.png,7.844551881,6.741654841,2,4.48E-08,1.999998855
0026.png,7.844551881,6.741654841,3,2.17E-08,2.999999364
0026.png,7.844551881,6.741654841,4,1.05E-08,3.999996251
0026.png,7.844551881,6.741654841,5,5.21E-09,4.999992396
0026.png,7.844551881,6.741654841,6,2.65E-09,5.999984522
0026.png,7.844551881,6.741654841,7,1.38E-09,6.99997108
0026.png,7.844551881,6.741654841,8,7.59E-10,7.999944696
0027.png,7.503947699,4.608284841,1,7.94E-08,0.999999996
0027.png,7.503947699,4.608284841,2,4.21E-08,1.999999318
0027.png,7.503947699,4.608284841,3,2.04E-08,2.99999694
0027.png,7.503947699,4.608284841,4,9.70E-09,3.999995853
0027.png,7.503947699,4.608284841,5,4.63E-09,4.999986646
0027.png,7.503947699,4.608284841,6,2.24E-09,5.999983534
0027.png,7.503947699,4.608284841,7,1.09E-09,6.999974673
0027.png,7.503947699,4.608284841,8,5.46E-10,7.999947053
0028.png,7.734494091,4.900609209,1,6.39E-08,0.999999986
0028.png,7.734494091,4.900609209,2,3.39E-08,1.999998681
0028.png,7.734494091,4.900609209,3,1.64E-08,2.999997935
0028.png,7.734494091,4.900609209,4,7.90E-09,3.999997573
0028.png,7.734494091,4.900609209,5,3.86E-09,4.999992038
0028.png,7.734494091,4.900609209,6,1.93E-09,5.999990317
0028.png,7.734494091,4.900609209,7,9.78E-10,6.999974093
0028.png,7.734494091,4.900609209,8,5.18E-10,7.999953835
0029.png,7.605116318,6.809497833,1,1.20E-07,0.999999995
0029.png,7.605116318,6.809497833,2,5.85E-08,1.9999992
0029.png,7.605116318,6.809497833,3,2.86E-08,2.999999084
0029.png,7.605116318,6.809497833,4,1.50E-08,3.99999766
0029.png,7.605116318,6.809497833,5,8.32E-09,4.999990143
0029.png,7.605116318,6.809497833,6,4.87E-09,5.999983744
0029.png,7.605116318,6.809497833,7,3.05E-09,6.999968037
0029.png,7.605116318,6.809497833,8,2.15E-09,7.999930467
0030.png,7.660983815,5.567154805,1,9.99E-08,0.999999921
0030.png,7.660983815,5.567154805,2,5.22E-08,1.999999057
0030.png,7.660983815,5.567154805,3,2.50E-08,2.99999646
0030.png,7.660983815,5.567154805,4,1.19E-08,3.999993577
0030.png,7.660983815,5.567154805,5,5.71E-09,4.999992544
0030.png,7.660983815,5.567154805,6,2.78E-09,5.999980123
0030.png,7.660983815,5.567154805,7,1.37E-09,6.999964165
0030.png,7.660983815,5.567154805,8,6.90E-10,7.999930473
0031.png,7.686550846,5.733537391,1,9.74E-08,0.999999888
0031.png,7.686550846,5.733537391,2,5.04E-08,1.999999173
0031.png,7.686550846,5.733537391,3,2.43E-08,2.99999794
0031.png,7.686550846,5.733537391,4,1.17E-08,3.999994791
0031.png,7.686550846,5.733537391,5,5.77E-09,4.999992237
0031.png,7.686550846,5.733537391,6,2.90E-09,5.999987878
0031.png,7.686550846,5.733537391,7,1.48E-09,6.999963847
0031.png,7.686550846,5.733537391,8,7.86E-10,7.999938927
0032.png,7.516016031,4.571494281,1,8.73E-08,0.99999987
0032.png,7.516016031,4.571494281,2,4.73E-08,1.999999172
0032.png,7.516016031,4.571494281,3,2.30E-08,2.999998193
0032.png,7.516016031,4.571494281,4,1.08E-08,3.99999568
0032.png,7.516016031,4.571494281,5,5.13E-09,4.999992012
0032.png,7.516016031,4.571494281,6,2.45E-09,5.999987326
0032.png,7.516016031,4.571494281,7,1.18E-09,6.999964585
0032.png,7.516016031,4.571494281,8,5.78E-10,7.999938588
0033.png,7.726210588,4.620346602,1,1.15E-07,0.999999995
0033.png,7.726210588,4.620346602,2,5.69E-08,1.999999836
0033.png,7.726210588,4.620346602,3,2.76E-08,2.999998758
0033.png,7.726210588,4.620346602,4,1.42E-08,3.999997381
0033.png,7.726210588,4.620346602,5,7.63E-09,4.999992902
0033.png,7.726210588,4.620346602,6,4.33E-09,5.999983142
0033.png,7.726210588,4.620346602,7,2.61E-09,6.999962017
0033.png,7.726210588,4.620346602,8,1.75E-09,7.999928565
0034.png,7.874448733,6.14782087,1,1.07E-07,0.999999918
0034.png,7.874448733,6.14782087,2,5.40E-08,1.999999248
0034.png,7.874448733,6.14782087,3,2.62E-08,2.999998546
0034.png,7.874448733,6.14782087,4,1.31E-08,3.999997567
0034.png,7.874448733,6.14782087,5,6.75E-09,4.999990777
0034.png,7.874448733,6.14782087,6,3.61E-09,5.999982639
0034.png,7.874448733,6.14782087,7,2.01E-09,6.999962152
0034.png,7.874448733,6.14782087,8,1.20E-09,7.999939609
0035.png,7.617526166,5.634817447,1,9.32E-08,0.999999881
0035.png,7.617526166,5.634817447,2,4.97E-08,1.999999479
0035.png,7.617526166,5.634817447,3,2.41E-08,2.99999874
0035.png,7.617526166,5.634817447,4,1.16E-08,3.999997288
0035.png,7.617526166,5.634817447,5,5.67E-09,4.999992546
0035.png,7.617526166,5.634817447,6,2.82E-09,5.999987348
0035.png,7.617526166,5.634817447,7,1.43E-09,6.99996945
0035.png,7.617526166,5.634817447,8,7.59E-10,7.999935523
0036.png,6.030357682,3.844756375,1,6.82E-08,0.999999749
0036.png,6.030357682,3.844756375,2,3.90E-08,1.999999091
0036.png,6.030357682,3.844756375,3,1.92E-08,2.999998203
0036.png,6.030357682,3.844756375,4,9.02E-09,3.999995168
0036.png,6.030357682,3.844756375,5,4.20E-09,4.999993259
0036.png,6.030357682,3.844756375,6,1.96E-09,5.999987163
0036.png,6.030357682,3.844756375,7,9.17E-10,6.999970866
0036.png,6.030357682,3.844756375,8,4.36E-10,7.999942697
0037.png,6.651841024,4.554346508,1,1.38E-07,0.999999983
0037.png,6.651841024,4.554346508,2,6.42E-08,1.999999364
0037.png,6.651841024,4.554346508,3,3.19E-08,2.999998505
0037.png,6.651841024,4.554346508,4,1.78E-08,3.999997143
0037.png,6.651841024,4.554346508,5,1.08E-08,4.999994388
0037.png,6.651841024,4.554346508,6,7.08E-09,5.999984546
0037.png,6.651841024,4.554346508,7,5.08E-09,6.999958311
0037.png,6.651841024,4.554346508,8,4.19E-09,7.999936873
0038.png,7.449828609,5.590669032,1,1.10E-07,0.999999649
0038.png,7.449828609,5.590669032,2,5.69E-08,1.999998982
0038.png,7.449828609,5.590669032,3,2.74E-08,2.999998302
0038.png,7.449828609,5.590669032,4,1.34E-08,3.999996326
0038.png,7.449828609,5.590669032,5,6.65E-09,4.999988083
0038.png,7.449828609,5.590669032,6,3.37E-09,5.99998123
0038.png,7.449828609,5.590669032,7,1.76E-09,6.999957442
0038.png,7.449828609,5.590669032,8,9.56E-10,7.999925138
0039.png,7.622134147,5.25979554,1,9.63E-08,0.999999961
0039.png,7.622134147,5.25979554,2,4.99E-08,1.99999806
0039.png,7.622134147,5.25979554,3,2.40E-08,2.999997364
0039.png,7.622134147,5.25979554,4,1.15E-08,3.999992995
0039.png,7.622134147,5.25979554,5,5.63E-09,4.999989083
0039.png,7.622134147,5.25979554,6,2.80E-09,5.999976102
0039.png,7.622134147,5.25979554,7,1.41E-09,6.999965905
0039.png,7.622134147,5.25979554,8,7.33E-10,7.999938893
0040.png,6.765222831,4.124791517,1,7.78E-08,0.999999665
0040.png,6.765222831,4.124791517,2,4.43E-08,1.999999698
0040.png,6.765222831,4.124791517,3,2.18E-08,2.999998609
0040.png,6.765222831,4.124791517,4,1.02E-08,3.999997564
0040.png,6.765222831,4.124791517,5,4.72E-09,4.999989028
0040.png,6.765222831,4.124791517,6,2.19E-09,5.99998185
0040.png,6.765222831,4.124791517,7,1.02E-09,6.999971049
0040.png,6.765222831,4.124791517,8,4.82E-10,7.999926794
0041.png,7.744326771,5.310428723,1,9.68E-08,0.999999898
0041.png,7.744326771,5.310428723,2,5.07E-08,1.99999907
0041.png,7.744326771,5.310428723,3,2.44E-08,2.999998769
0041.png,7.744326771,5.310428723,4,1.18E-08,3.999995204
0041.png,7.744326771,5.310428723,5,5.82E-09,4.999993242
0041.png,7.744326771,5.310428723,6,2.93E-09,5.999980949
0041.png,7.744326771,5.310428723,7,1.51E-09,6.999971106
0041.png,7.744326771,5.310428723,8,8.10E-10,7.999929069
0042.png,7.494898472,5.785878643,1,1.03E-07,0.999999849
0042.png,7.494898472,5.785878643,2,5.19E-08,1.999999437
0042.png,7.494898472,5.785878643,3,2.50E-08,2.999997839
0042.png,7.494898472,5.785878643,4,1.22E-08,3.999997929
0042.png,7.494898472,5.785878643,5,6.15E-09,4.999990074
0042.png,7.494898472,5.785878643,6,3.15E-09,5.999985016
0042.png,7.494898472,5.785878643,7,1.66E-09,6.999964286
0042.png,7.494898472,5.785878643,8,9.11E-10,7.999938555
0043.png,7.313608905,4.332878122,1,1.03E-07,0.999999526
0043.png,7.313608905,4.332878122,2,5.29E-08,1.999999149
