image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0003.png,7.684643750912881,6.146750081780413,7,1.1650325796302393e-09,6.9999701350423065
0003.png,7.684643750912881,6.146750081780413,8,5.690737092343356e-10,7.999929302114224
0004.png,7.526361786590134,4.0486679016851745,1,8.988166763751032e-08,0.9999999885121734
0004.png,7.526361786590134,4.0486679016851745,2,4.8315665533275886e-08,1.9999974697849312
0004.png,7.526361786590134,4.0486679016851745,3,2.3341554174261963e-08,2.9999965315996655
0004.png,7.526361786590134,4.0486679016851745,4,1.102722580576932e-08,3.9999956423872423
0004.png,7.526361786590134,4.0486679016851745,5,5.249072607560544e-09,4.999988754340301
0004.png,7.526361786590134,4.0486679016851745,6,2.5245973325140108e-09,5.999982877994843
0004.png,7.526361786590134,4.0486679016851745,7,1.2311750870915506e-09,6.999965540439854
0004.png,7.526361786590134,4.0486679016851745,8,6.101982172401738e-10,7.999923959015076
0005.png,7.527340959303905,6.1346597312683935,1,7.149290743922108e-08,0.9999998905101557
0005.png,7.527340959303905,6.1346597312683935,2,3.93992315400699e-08,1.9999994742255602
0005.png,7.527340959303905,6.1346597312683935,3,1.918703354180476e-08,2.999998178100788
0005.png,7.527340959303905,6.1346597312683935,4,9.04099692529679e-09,3.999997188257106
0005.png,7.527340959303905,6.1346597312683935,5,4.2741777234046365e-09,4.99999512287299
0005.png,7.527340959303905,6.1346597312683935,6,2.0363442149447285e-09,5.999986870791874
0005.png,7.527340959303905,6.1346597312683935,7,9.776161911958877e-10,6.999968359737579
0005.png,7.527340959303905,6.1346597312683935,8,4.769606465682514e-10,7.999941837636686
0006.png,7.442016470029149,4.445767199260393,1,8.975615239722866e-08,0.9999999999996227
0006.png,7.442016470029149,4.445767199260393,2,4.83208231814099e-08,1.9999994175086986
0006.png,7.442016470029149,4.445767199260393,3,2.3500112344439047e-08,2.9999984360172878
0006.png,7.442016470029149,4.445767199260393,4,1.122382608352234e-08,3.9999927369672457
0006.png,7.442016470029149,4.445767199260393,5,5.406128343177759e-09,4.9999844312163315
0006.png,7.442016470029149,4.445767199260393,6,2.6417873952980492e-09,5.999979729438923
0006.png,7.442016470029149,4.445767199260393,7,1.3107983450082574e-09,6.999964422517287
0006.png,7.442016470029149,4.445767199260393,8,6.723174863249132e-10,7.999931240187626
0007.png,7.627306873255481,6.526726872292724,1,1.0111530916895548e-07,0.9999999138449732
0007.png,7.627306873255481,6.526726872292724,2,5.138925460970718e-08,1.9999989000423617
0007.png,7.627306873255481,6.526726872292724,3,2.4675738459243137e-08,2.999998156218332
0007.png,7.627306873255481,6.526726872292724,4,1.2007269572825904e-08,3.9999966246920344
0007.png,7.627306873255481,6.526726872292724,5,5.983195646675388e-09,4.999992130903413
0007.png,7.627306873255481,6.526726872292724,6,3.0394297412503267e-09,5.999978431132376
0007.png,7.627306873255481,6.526726872292724,7,1.5816617050665472e-09,6.999968020462414
0007.png,7.627306873255481,6.526726872292724,8,8.550918206432104e-10,7.999936697480412
0008.png,7.597909574614148,5.5868757840924115,1,8.660691165103275e-08,0.9999999960769381
0008.png,7.597909574614148,5.5868757840924115,2,4.7313172223792494e-08,1.9999992701510894
0008.png,7.597909574614148,5.5868757840924115,3,2.3016002728135177e-08,2.9999982313261575
0008.png,7.597909574614148,5.5868757840924115,4,1.0893635502743728e-08,3.9999953682016036
0008.png,7.597909574614148,5.5868757840924115,5,5.182055478967009e-09,4.999992214751012
0008.png,7.597909574614148,5.5868757840924115,6,2.4881479712096443e-09,5.999982423985372
0008.png,7.597909574614148,5.5868757840924115,7,1.2103515421498334e-09,6.999970400523348
0008.png,7.597909574614148,5.5868757840924115,8,5.99083221591957e-10,7.999939720069475
0009.png,7.6447313245855755,5.765841586291025,1,8.622489701245925e-08,0.9999999541281342
0009.png,7.6447313245855755,5.765841586291025,2,4.540552933298338e-08,1.9999981592583986
0009.png,7.6447313245855755,5.765841586291025,3,2.2026875525592033e-08,2.999994591224004
0009.png,7.6447313245855755,5.765841586291025,4,1.0674303762147573e-08,3.999994947263692
0009.png,7.6447313245855755,5.765841586291025,5,5.288328031136253e-09,4.99999440113396
0009.png,7.6447313245855755,5.765841586291025,6,2.6735880852033137e-09,5.99998540449385
0009.png,7.6447313245855755,5.765841586291025,7,1.3870646356196059e-09,6.999970281390318
0009.png,7.6447313245855755,5.765841586291025,8,7.555364316405167e-10,7.999941239517688
0010.png,7.499683507178704,5.4659229330647445,1,7.291665460776753e-08,0.9999998035931189
0010.png,7.499683507178704,5.4659229330647445,2,3.935648853914532e-08,1.9999993105957226
0010.png,7.499683507178704,5.4659229330647445,3,1.9094290183928253e-08,2.9999974913068397
0010.png,7.499683507178704,5.4659229330647445,4,9.037644412800622e-09,3.999993985330028
0010.png,7.499683507178704,5.4659229330647445,5,4.3052382568933446e-09,4.999992039916597
0010.png,7.499683507178704,5.4659229330647445,6,2.0683577992144417e-09,5.999985777817697
0010.png,7.499683507178704,5.4659229330647445,7,9.997511380482277e-10,6.9999732593076684
0010.png,7.499683507178704,5.4659229330647445,8,4.937011332842177e-10,7.999954039233269
0011.png,7.657008793962561,5.98322245948568,1,9.02954304899812e-08,0.9999999994555073
0011.png,7.657008793962561,5.98322245948568,2,4.8272370461480394e-08,1.9999994074142722
0011.png,7.657008793962561,5.98322245948568,3,2.3398030948833442e-08,2.999998462282871
0011.png,7.657008793962561,5.98322245948568,4,1.1137052846024772e-08,3.999994227479708
0011.png,7.657008793962561,5.98322245948568,5,5.334090389065713e-09,4.999992161258818
0011.png,7.657008793962561,5.98322245948568,6,2.5907960924714125e-09,5.999983485375446
0011.png,7.657008793962561,5.98322245948568,7,1.2781967348660236e-09,6.999970085350009
0011.png,7.657008793962561,5.98322245948568,8,6.488198196537575e-10,7.999938377042967
0012.png,7.758263103501754,5.431540221047701,1,1.0368565858384825e-07,0.9999999969457131
0012.png,7.758263103501754,5.431540221047701,2,5.2858416107352317e-08,1.9999991863287907
0012.png,7.758263103501754,5.431540221047701,3,2.5588309112552113e-08,2.999998908931658
0012.png,7.758263103501754,5.431540221047701,4,1.265723239837934e-08,3.9999981331006165
0012.png,7.758263103501754,5.431540221047701,5,6.4348833231858e-09,4.999990423164679
0012.png,7.758263103501754,5.431540221047701,6,3.374419171651162e-09,5.999985075288804
0012.png,7.758263103501754,5.431540221047701,7,1.8310988449896087e-09,6.999961121616554
0012.png,7.758263103501754,5.431540221047701,8,1.0605421783379546e-09,7.999937142693948
0013.png,4.461537247672967,2.7635480902161573,1,1.1402245685666089e-07,0.999999999998518
