image_filename,image_entropy,image_delentropy,hologram_bit_depth,NMSE,hologram_entropy
0067.png,6.556058048649216,4.911547847323683,8,7.80820659852836e-10,7.9999263055837835
0067.png,6.556058048649216,4.911547847323683,8,7.821752595144947e-10,7.999940451785893
0067.png,6.556058048649216,4.911547847323683,8,7.841202778225981e-10,7.999940037467255
0067.png,6.556058048649216,4.911547847323683,8,7.841381328744736e-10,7.999919856982245
0067.png,6.556058048649216,4.911547847323683,8,7.83951568052687e-10,7.999931125464872
0068.png,7.482449821471389,4.2918697592284065,1,5.966022109474253e-08,0.9999996024253844
0068.png,7.482449821471389,4.2918697592284065,1,5.958969636611987e-08,0.9999994035060734
0068.png,7.482449821471389,4.2918697592284065,1,5.955683366799598e-08,0.9999999740457459
0068.png,7.482449821471389,4.2918697592284065,1,5.958946262776318e-08,0.9999999894783493
0068.png,7.482449821471389,4.2918697592284065,1,5.964516551126987e-08,0.9999999772455654
0068.png,7.482449821471389,4.2918697592284065,2,4.5601173189239215e-08,1.9999991374742339
0068.png,7.482449821471389,4.2918697592284065,2,4.5601123727578957e-08,1.9999997711137947
0068.png,7.482449821471389,4.2918697592284065,2,4.563948861415824e-08,1.9999992251526848
0068.png,7.482449821471389,4.2918697592284065,2,4.5563352865876885e-08,1.9999994580082825
0068.png,7.482449821471389,4.2918697592284065,2,4.556955478657229e-08,1.9999996512222329
0068.png,7.482449821471389,4.2918697592284065,3,2.2241238606191196e-08,2.999997814262431
0068.png,7.482449821471389,4.2918697592284065,3,2.224622311879072e-08,2.9999973561077855
0068.png,7.482449821471389,4.2918697592284065,3,2.2241611110080825e-08,2.999998204753002
0068.png,7.482449821471389,4.2918697592284065,3,2.223557661942875e-08,2.999998399328393
0068.png,7.482449821471389,4.2918697592284065,3,2.2285924550948263e-08,2.999998449395948
0068.png,7.482449821471389,4.2918697592284065,4,1.0487170768662805e-08,3.999996096880352
0068.png,7.482449821471389,4.2918697592284065,4,1.0459069812051798e-08,3.9999950770956865
0068.png,7.482449821471389,4.2918697592284065,4,1.0471737335034069e-08,3.999993718153383
0068.png,7.482449821471389,4.2918697592284065,4,1.0464385122735655e-08,3.999997076865642
0068.png,7.482449821471389,4.2918697592284065,4,1.0467890215892167e-08,3.999998688337391
0068.png,7.482449821471389,4.2918697592284065,5,4.9231027150941785e-09,4.999992411560115
0068.png,7.482449821471389,4.2918697592284065,5,4.9417420840836555e-09,4.999991560134194
0068.png,7.482449821471389,4.2918697592284065,5,4.932220974639714e-09,4.999994081858417
0068.png,7.482449821471389,4.2918697592284065,5,4.932231025170782e-09,4.9999915135999835
0068.png,7.482449821471389,4.2918697592284065,5,4.941150481370611e-09,4.999991556601999
0068.png,7.482449821471389,4.2918697592284065,6,2.34504693973765e-09,5.999980045926725
0068.png,7.482449821471389,4.2918697592284065,6,2.3396170838284066e-09,5.9999828187073
