image_filename,image_entropy,image_delentropy,holo_bit_depth,NMSE,holo_entropy
0090.png,7.629945498577509,5.066852187707946,3,2.3881433365457334e-08,2.9999964269209256
0090.png,7.629945498577509,5.066852187707946,4,1.1478194118524021e-08,3.999996537344015
0090.png,7.629945498577509,5.066852187707946,5,5.594365039746045e-09,4.9999902025535485
0090.png,7.629945498577509,5.066852187707946,6,2.7737272709472555e-09,5.999983567665468
0090.png,7.629945498577509,5.066852187707946,7,1.3848433245058805e-09,6.9999674200132675
0090.png,7.629945498577509,5.066852187707946,8,7.176673088314492e-10,7.999928414266155
0091.png,7.232957632218251,4.735339908928646,1,8.299049423191267e-08,0.9999999896133029
0091.png,7.232957632218251,4.735339908928646,2,4.355751432827868e-08,1.9999976293170216
0091.png,7.232957632218251,4.735339908928646,3,2.093298002619045e-08,2.999996752862938
0091.png,7.232957632218251,4.735339908928646,4,9.990708845267173e-09,3.999996088960146
0091.png,7.232957632218251,4.735339908928646,5,4.842091907358372e-09,4.999989329872702
0091.png,7.232957632218251,4.735339908928646,6,2.3803603234317705e-09,5.999978671796184
0091.png,7.232957632218251,4.735339908928646,7,1.1850882026424346e-09,6.999962169212896
0091.png,7.232957632218251,4.735339908928646,8,6.087869221529262e-10,7.999937428214005
0092.png,6.781678293120716,4.398538861825009,1,9.657737626725132e-08,0.9999997880086563
0092.png,6.781678293120716,4.398538861825009,2,5.359325460676863e-08,1.9999985983568997
0092.png,6.781678293120716,4.398538861825009,3,2.623174331813596e-08,2.999997926944642
0092.png,6.781678293120716,4.398538861825009,4,1.232034717256202e-08,3.9999910852904077
0092.png,6.781678293120716,4.398538861825009,5,5.762094392901479e-09,4.9999854238711485
0092.png,6.781678293120716,4.398538861825009,6,2.699731547104987e-09,5.99997755821445
0092.png,6.781678293120716,4.398538861825009,7,1.272595568111699e-09,6.999965092889645
0092.png,6.781678293120716,4.398538861825009,8,6.089965816114718e-10,7.99992182468905
0093.png,7.499075963871117,6.08148405751868,1,1.0642837902047634e-07,0.999999303618886
0093.png,7.499075963871117,6.08148405751868,2,5.2786656786510224e-08,1.9999971826139615
0093.png,7.499075963871117,6.08148405751868,3,2.537073744222701e-08,2.9999960384532396
0093.png,7.499075963871117,6.08148405751868,4,1.2554393041859363e-08,3.99999529124499
0093.png,7.499075963871117,6.08148405751868,5,6.4166856960438875e-09,4.999991381190599
0093.png,7.499075963871117,6.08148405751868,6,3.390073217020852e-09,5.999978867218788
0093.png,7.499075963871117,6.08148405751868,7,1.859296994245437e-09,6.999967293025008
0093.png,7.499075963871117,6.08148405751868,8,1.0818914487927658e-09,7.999936061373695
0094.png,7.4685258329221345,5.501745807937542,1,1.1737418693650881e-07,0.9999997741379627
0094.png,7.4685258329221345,5.501745807937542,2,5.827888202494861e-08,1.9999982575589712
0094.png,7.4685258329221345,5.501745807937542,3,2.8278390399583573e-08,2.999997966124229
0094.png,7.4685258329221345,5.501745807937542,4,1.424871190813887e-08,3.999996393840302
0094.png,7.4685258329221345,5.501745807937542,5,7.462445535446824e-09,4.999995435264587
0094.png,7.4685258329221345,5.501745807937542,6,4.075274995399421e-09,5.99998478460893
0094.png,7.4685258329221345,5.501745807937542,7,2.3195949859373656e-09,6.99996592086548
0094.png,7.4685258329221345,5.501745807937542,8,1.4471378584126065e-09,7.999937305689927
0095.png,7.603753181755549,4.870286793486466,1,1.0362703146090441e-07,0.9999999999362748
0095.png,7.603753181755549,4.870286793486466,2,5.218863297708647e-08,1.99999997866679
0095.png,7.603753181755549,4.870286793486466,3,2.490078003485177e-08,2.999998886442713
0095.png,7.603753181755549,4.870286793486466,4,1.211993057851244e-08,3.9999981633993817
0095.png,7.603753181755549,4.870286793486466,5,6.0833555576515636e-09,4.99999322411073
0095.png,7.603753181755549,4.870286793486466,6,3.134743192854577e-09,5.999984960954042
0095.png,7.603753181755549,4.870286793486466,7,1.6585594538398433e-09,6.9999623284617485
0095.png,7.603753181755549,4.870286793486466,8,9.247779329665016e-10,7.999940375648054
0096.png,7.69155887741709,5.439989336687316,1,1.0917881832307944e-07,0.9999996524899878
0096.png,7.69155887741709,5.439989336687316,2,5.4080298239654176e-08,1.9999989878108722
0096.png,7.69155887741709,5.439989336687316,3,2.611807759528996e-08,2.9999981161374696
